51	61	2	1
ACA_CAC_76.0
ACA_CAC_84.0
ACA_CAC_95.0
ACA_CAC_116.0
ACA_CAC_126.0
ACA_CAC_128.0
ACA_CAC_131.0
ACA_CAC_137.0
ACA_CAC_146.0
ACA_CAC_147.0
ACA_CAC_148.0
ACA_CAC_149.0
ACA_CAC_156.0
ACA_CAC_172.0
ACA_CAC_190.0
ACA_CAC_206.0
ACA_CAC_261.0
ACA_CAC_263.0
ACA_CAC_276.0
ACA_CAC_280.0
ACA_CAC_282.0
ACA_CAC_288.0
ACA_CAC_301.0
ACA_CAC_311.0
ACA_CAC_315.0
ACA_CAC_336.0
ACA_CAC_346.0
ACA_CAC_370.0
ACA_CAC_380.0
ACA_CAC_383.0
ACA_CAC_386.0
ACA_CAC_408.0
ACA_CAT_61.0
ACA_CAT_70.0
ACA_CAT_72.0
ACA_CAT_78.0
ACA_CAT_99.0
ACA_CAT_124.0
ACA_CAT_135.0
ACA_CAT_146.0
ACA_CAT_161.0
ACA_CAT_170.0
ACA_CAT_231.0
ACA_CAT_238.0
ACA_CAT_369.0
ACA_CAT_371.0
ACA_CAT_426.0
ACC_CAT_66.0
ACC_CAT_96.0
ACC_CAT_148.0
ACC_CAT_185.0
ACC_CAT_186.0
ACC_CAT_224.0
ACC_CAT_241.0
ACC_CAT_243.0
ACC_CAT_307.0
ACC_CAT_312.0
ACC_CAT_342.0
ACC_CAT_367.0
ACC_CAT_431.0
ACC_CAT_446.0
6	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1
6	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	2	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1
7	2	2	2	2	2	2	2	1	2	2	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	2
7	2	2	2	2	2	2	2	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1
7	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1
8	2	2	2	2	2	2	2	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	2	2	2	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	1	2	1	1	1
8	2	2	2	2	2	2	2	1	2	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	2	2	2	1	2	1	1	2	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1
8	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	2	2	2	1	2	1	2	1	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1
9	2	2	2	2	2	2	2	2	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	1	1	1	2	1	1	1	2	1	2	1	2	2	1	2	2	2	1	1	1
9	2	2	2	2	2	2	2	1	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	2	1	2	1	2	2	1	1	2	2	2	1	1
9	2	2	2	2	2	2	2	2	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	1	2	1	2	2	1	1	1	2	1	1	1	2	1	2	1	2	2	1	2	2	2	1	1	1
10	2	2	2	2	2	2	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	2	1	1	1	2	1	1	2	2	2	1	2	2	1	1	2	1	1	1	1
10	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	1	2	2	2	2	1	1	1	2	2	1	1
10	1	2	2	2	2	2	2	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	1	2	1	1	2	1	2	1	2	1	1	2	1	2	1	1	1
11	2	2	2	2	2	2	2	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	2	2	1	1	1	1	1	2	1	2	1	2	2	1	1	2	2	1	1	1
11	2	2	2	2	2	2	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	1	2	2	1	1	1	1	2	1	1	2	2	2	1	2	2	2	1	2	2	1	1	1
11	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	2	2	1	1	1
12	2	2	2	2	2	2	2	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	2	2	2	2	1	2	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	2	1	2	1	2	1	1	1
12	2	2	2	2	2	2	2	1	1	2	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	1	2	1	2	2	2	1	2	1	1	1	1	2	1	2	1	2	2	1	1	1	2	1	1	1
12	2	2	2	2	2	2	2	1	1	2	1	2	1	2	1	1	2	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	2	2	2	2	1	2	1	2	2	2	2	1	1	1	1	1	2	2	2	1	2	2	1	1	1	2	2	1	1
13	2	2	2	2	2	2	2	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1
13	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
13	2	2	2	2	2	1	2	2	2	1	1	1	1	2	1	2	1	1	1	2	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	2	1	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
14	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	2	2	1	2	2	2	2	1	2	2	1	1	1	1
14	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	2	1	2	2	2	2	2	2	2	1	1	1	1	2	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
14	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	1	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
15	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
15	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
15	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	2	1	1	2	1	2	1	2	2	2	2	2	2	1	1	1
16	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	1	2	2	2	2	2	2	1	2	2	1	2	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
16	2	2	2	2	2	2	2	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	2	1	2	1	2	2	2	2	2	2	1	1	1
16	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	2	2	2	2	2	2	1	1	2	1	2	2	2	2	2	2	1	2	2	1	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1
17	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	2	2	1	1	1
17	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	2	2	1	1	1
17	2	2	2	2	2	2	2	2	1	2	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	1	2	1	1	1
18	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2	1	1	1
18	1	1	2	2	2	2	2	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	1	1	2	2	1	1	1	1	2	1	1	2	1	2	1	2	2	1	1	2	2	2	1	1
18	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	1	2	2	2	1	1	2	1	1	2	2	1	2	2	2	1	2	1	1	1	1	1
19	2	2	2	2	2	1	2	2	2	1	1	1	1	2	1	2	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	1	2	1	2	2	1	1	1	1	1	1	2	2	1	2	1	2	2	1	2	2	2	1	1	1
19	2	2	2	2	2	1	2	2	2	1	1	1	1	2	2	2	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	1	2	1	2	2	1	1	1	1	1	1	1	2	1	1	2	2	2	1	2	2	2	1	1	1
19	2	2	2	2	2	1	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	1	2	1	2	2	1	1	1	1	1	1	2	2	2	1	2	2	2	1	2	2	2	1	1	1
20	2	2	1	2	2	2	2	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	1	1	1	1
20	2	2	2	1	2	2	1	2	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	2	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
20	2	2	2	1	1	2	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	2	2	2	2	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	2	2	1	1	1
21	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1
21	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	2	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
21	2	2	2	2	2	2	2	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	1	1	1	1
22	2	2	2	2	2	2	2	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	2	2	2	2	2	2	1	2	2	1	2	1	1	2	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1
22	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
22	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
23	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1	2	2	1	2	1	1	2	1	1	2	1	2	1	2	2	2	2	2	2	1	1	1
23	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	2	1	2	2	1	2	2	2	1	1	1
23	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
24	2	2	2	2	2	2	2	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1	1	2	1	2	2	1	1	1	1	2	1	2	1	2	2	1	2	2	2	1	1	1
24	2	2	2	2	2	2	2	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	2	2	2	2	1	2	2	1	2	1	1	1	1	1	2	1	2	1	2	2	2	2	2	2	1	1	1
24	2	2	2	2	2	2	2	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	2	2	2	2	2	2	1	1
25	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	1	1	2	2	2	1	2	2	1	2	1	2	2	1	1
25	2	2	2	2	2	2	2	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1	2	2	1	2	2	1	1	1	1	2	2	2	1	2	2	1	2	1	2	2	1	1
25	2	2	2	2	2	2	2	1	2	2	1	2	1	2	1	2	1	1	2	1	1	1	1	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	2	1	1	2	1	2	1	2	2	1	2	2	2	2	1	1
26	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	1	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	1	2	2	2	1	2	2	2	1	1	1
26	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	1	2	1	2	2	1	1	1	1
26	1	2	1	2	2	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	1	1	2	2	1	2	2	2	1	1	1
27	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	2	2	1	1	1
27	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	1	2	2	2	1	2	2	1	1	1	1
27	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	1	2	2	2	1	2	2	2	1	1	1
28	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	2	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	2	1	1	1	2	2	2	1	2	2	1	2	1	2	1	1	1
28	2	2	2	2	2	1	2	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
28	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	2	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1
29	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
29	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
29	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
30	2	2	2	2	2	2	2	1	2	2	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	1	1	2	1	2	2	1	2	1	1	2	2	1	1	2	2	2	1	1	2	1	1	1
30	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	1	2	1	1	2	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
30	2	2	2	2	2	2	2	2	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	2	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1
31	2	2	2	2	2	2	2	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	2	2	1	1	1
31	2	2	2	2	2	2	2	1	2	1	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	2	2	2	2	2	1	2	2	1	2	1	1	2	1	1	2	1	2	1	2	2	1	2	2	2	2	1	1
31	2	2	2	2	2	2	2	1	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1	2	2	1	2	2	1	1	1	1	2	1	2	1	2	2	1	2	2	2	2	1	1
32	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	1	2	1	2	2	1	1	1	1	1	1	2	1	2	2	2	2	2	1	2	2	2	1	1	1
32	2	2	2	2	2	1	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	1	2	1	2	2	1	1	1	1	1	1	2	2	1	1	2	2	2	1	2	2	2	1	1	1
32	2	2	2	2	2	1	2	2	2	1	2	1	1	2	1	2	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	1	2	2	2	2	1	1	1	1	1	1	2	2	1	1	2	2	2	1	2	2	2	1	1	1
33	2	2	1	2	2	2	2	1	1	2	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	2	1	2	1	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	2	1	1	1	1
33	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	2	2	2	1	1	2	2	1	2	2	2	1	1	1
33	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	2	2	2	1	2	1	2	2	1	1	1	1	1	1	2	2	2	1	2	2	2	1	2	2	2	1	1	1
34	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	2	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1
